GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene-KPHS_28420,14.796994350935346,-0.7463174740485827,0.8269580190730617,-0.9024853219092439,0.36679911515377434,0.4453102624751829
gene-KPHS_28430,81.85321597260894,1.292001040397067,0.3517171747289866,3.6734090150491228,2.3933592177395417e-4,4.7470220835608046e-4
gene-KPHS_28440,80.40591436057272,0.44486777009288603,0.427143628095467,1.0414945719229074,0.2976460711265661,0.37076572228005417
gene-KPHS_28450,162.28804422861364,-0.6355399512374126,0.27274301511509397,-2.3301786517584073,0.019796710807115172,0.03126083082058902
gene-KPHS_28460,246.1380130554266,1.0289129317559553,0.2463188786342545,4.177158232697755,2.95173695090064e-5,6.336189266331217e-5
gene-KPHS_28470,234.4856141425923,-0.821980671924162,0.22497601553137547,-3.653636899838896,2.585518328747398e-4,5.112254635552899e-4
gene-KPHS_28480,525.2734686535333,-1.1273352619284445,0.145899517190478,-7.726792272085866,1.1029039925730742e-14,3.986567328318291e-14
gene-KPHS_28490,691.9306101007905,4.3324466675546365,0.16599781555598545,26.09941976069829,3.701510202013685e-150,7.507656734826343e-149
gene-KPHS_28500,13950.762036367481,5.779650942564019,0.08365609295767651,69.0882246376014,0,0
gene-KPHS_28510,2751.832005693304,6.546540723331869,0.16012479883877972,40.88399030510694,0,0
gene-KPHS_28520,3399.539804742455,5.64685263121658,0.12092077867911459,46.698778265409096,0,0
gene-KPHS_28530,1018.0159345287116,5.45783529305083,0.16036714105484842,34.033376520593784,7.151058342395588e-254,2.443278266985159e-252
gene-KPHS_28540,2389.3310415651727,5.514789795117691,0.12574682482420896,43.856294604871614,0,0
gene-KPHS_28550,420.3850552176811,1.2557952120240852,0.17803028372823493,7.053829189763409,1.7406002865477176e-12,5.679957728700341e-12
gene-KPHS_28560,12.820309311761667,-1.1666596008641865,0.7996416042125254,-1.458978115593541,0.14457113112993702,0.19548605245838363
gene-KPHS_28570,25.59339938169488,-0.10031085874590358,0.6240542962495003,-0.16074059476677133,0.8722977151390109,0.8971490566023871
gene-KPHS_28580,7.12805611457412,-0.6707681031740371,1.063489719334988,-0.630723636513831,0.5282212414431335,0.6036213270721852
gene-KPHS_28590,184.30114424759546,-0.36077503067270733,0.23454904528142184,-1.5381645669878308,0.12400838217538286,0.16996373297199086
gene-KPHS_28600,1295.7897976878705,1.0662752086041802,0.15145647838650697,7.040142620265579,1.9204316203724013e-12,6.249023526608607e-12
gene-KPHS_28610,25.882687256834625,0.9881898267338788,0.5450501754387602,1.8130254263993133,0.06982789976210159,0.10108755224072209
gene-KPHS_28620,53.131139003007874,0.6250888518496864,0.4641827216551429,1.346643945773764,0.1780949334794614,0.2353822054276096
gene-KPHS_28630,10.271562547796988,0.33281004634014816,1.0061783852632824,0.33076644381807424,0.740820909421368,0.7951219184889028
gene-KPHS_28640,339.76605461225006,0.07179966879883301,0.20651493890548,0.3476730021535878,0.7280857743867876,0.7854185951851457
gene-KPHS_28650,562.8220122190901,0.5080752121379398,0.14242239567253562,3.567382852526443,3.6056448781390495e-4,7.013351948667619e-4
gene-KPHS_28660,741.8326758836155,3.4671405532491812,0.13774196449995654,25.1712727187819,8.2677386490711735e-140,1.5662316780748692e-138
gene-KPHS_28670,80.10484524092543,0.5935265140423844,0.34565661183283064,1.7170986861649582,0.08596114222073746,0.12198194223659654
gene-KPHS_28680,119.14039557735012,0.43227223483448884,0.279972942951634,1.5439786083513254,0.1225935149666677,0.16814498826969476
gene-KPHS_28690,101.63456884771739,1.31680919350572,0.2878070523751604,4.5753194115245,4.754939710737291e-6,1.0826399817386771e-5
gene-KPHS_28700,15.525641743029492,0.8364291889304577,0.7654759304485553,1.0926916910899145,0.27452918911995283,0.345039970560221
gene-KPHS_28710,101.08752796045745,0.36861579614361506,0.31970620263507393,1.1529829359124715,0.24891738856275447,0.31631299764228704
gene-KPHS_28720,16.09563615861684,0.10145682704370451,0.781582266923215,0.12980953040695323,0.8967171225438968,0.917823873645144
gene-KPHS_28730,51.25000942438624,-0.4374030659911821,0.43681539983796547,-1.0013453421134755,0.3166598790047348,0.3920680986814447
gene-KPHS_28740,111.49849649563235,0.19759479602350385,0.2847405511390391,0.69394680607687,0.4877155687767055,0.5657816016124272
gene-KPHS_28750,1684.0730067397928,2.806934008477909,0.1196886422055419,23.451966341614497,1.2622273567674502e-121,2.2224493950445287e-120
gene-KPHS_28760,15.179878240393016,0.906761252100763,0.7801962170864776,1.16222205676275,0.24514527744817724,0.31248809517045023
gene-KPHS_28770,1473.0722826422339,0.027326607535684,0.13420984621321916,0.20361104871747057,0.8386574583873048,0.8712929974919692
gene-KPHS_28780,1744.2098813631676,0.46259565660645446,0.18669915541782797,2.477759771173989,0.013221012790194843,0.021353014467000112
gene-KPHS_28790,631.3315135525077,-1.6750822233915899,0.15312719208452644,-10.939155878120863,7.489395502038948e-28,4.165613389699958e-27
gene-KPHS_28800,2272.0786682352395,-1.0481938402075595,0.10388947372314987,-10.089509578235438,6.1475881801562025e-24,3.0631211939319967e-23
gene-KPHS_28810,136.6057685282315,-1.03999540548451,0.26868546411823363,-3.8706798259353006,1.085322615484565e-4,2.224911361743358e-4
gene-KPHS_28820,3997.7490822699797,-0.9149157655668978,0.10852413957049106,-8.430527707364323,3.441098958670443e-17,1.3735680127098985e-16
gene-KPHS_28830,102.44028211002237,0.1820764347963342,0.31243830209440165,0.5827596475073684,0.5600551131297309,0.6338350465784731
gene-KPHS_28840,4450.688422312592,-0.8731384184044467,0.08283885881893875,-10.540203364134568,5.63768551758946e-26,2.957981249631033e-25
gene-KPHS_28850,2917.3978483392402,1.5436846172446048,0.09307720398208906,16.58499128896972,8.947866810094716e-62,9.237545951428718e-61
gene-KPHS_28860,1063.142882153124,-0.9089356906297729,0.11279418141019082,-8.058356195913237,7.732721882139344e-16,2.937513143843801e-15
gene-KPHS_28870,482.3179864109054,-1.3317343546298328,0.16618386518426517,-8.013620053626758,1.1138043756066976e-15,4.20607704998845e-15
gene-KPHS_28880,78.10112720192605,-1.9274174929769854,0.387755177338661,-4.970707306104131,6.670909136483299e-7,1.615654786641947e-6
gene-KPHS_28890,1786.6056179672628,0.9423795646085354,0.10268077056850133,9.177760932168372,4.4014789707467897e-20,1.9434222532374287e-19
gene-KPHS_28900,2917.0383325411954,0.927623048100292,0.08715528681068176,10.64333653235827,1.8729972774272618e-26,1.0019575370393739e-25
gene-KPHS_28910,161.01241542175518,-0.05454423226731186,0.23636238981089905,-0.23076527662015006,0.8174971584202045,0.8559900405221401
gene-KPHS_28930,1263.3051573154773,0.8281051019777685,0.16906690239128128,4.898091171394607,9.67721344289916e-7,2.3202675506366413e-6
gene-KPHS_28940,832.0081642977801,-0.2851113817710666,0.1468056904205767,-1.9421003433468038,0.05212495396606957,0.0771723589799431
gene-KPHS_28950,110.46496790326086,-0.6862948888947015,0.3356674911738604,-2.0445676359502807,0.04089750294083461,0.061594027483170916
gene-KPHS_28960,67.20930351667302,-1.7673968933063366,0.3794774954757296,-4.657448503212688,3.2015247136733975e-6,7.380221629110562e-6
gene-KPHS_28970,48.24799354080159,-0.8494339850506527,0.40708892936220953,-2.0866054657430007,0.036923812816503955,0.0561140284794103
gene-KPHS_28980,1786.8967140558295,5.312114243732229,0.1384668228837071,38.36380537302909,0,0
gene-KPHS_28990,3625.4478657031477,5.254303351141409,0.11625731511343804,45.195464440362514,0,0
gene-KPHS_29000,304.115889489185,5.097762010005414,0.2697651066819442,18.897039994189193,1.2063320785328024e-79,1.5118659674188397e-78
gene-KPHS_29010,382.63498976420317,5.4726956682531185,0.2608282824480776,20.9819871406873,9.580526495814498e-98,1.4064506927359393e-96
